codigo,nome_pt_br,sigla,registro,bit_codigo,largura_codigo,arquivo,cpk_origem,fonte_autoritativa,tamanho_registro,offset_nome_pt_br,largura_nome_pt_br,codificacao_nome_pt_br,hash_country_bin,presente_dt200,presente_dt870_steam,presente_dt870_atualizacao,contrato_extracao,pode_rodar,falta_o_que
88,Sudão,SDN,86,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
89,Eswatini,SWZ,87,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
90,Tanzânia,TAN,88,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
91,Togo,TOG,89,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
92,Tunísia,TUN,90,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
93,Uganda,UGA,91,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
94,Zâmbia,ZAM,92,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
95,Zimbabwe,ZIM,93,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
98,Congo,CGO,94,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
103,Anguilla,AIA,95,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
104,Antígua e Barbuda,ATG,96,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
105,Aruba,ARU,97,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
106,Bahamas,BAH,98,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
107,Barbados,BRB,99,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
108,Belize,BLZ,100,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
109,Bermudas,BER,101,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
110,Canadá,CAN,102,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
111,Ilhas Caimã,CAY,103,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
112,Costa Rica,CRC,104,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
113,Cuba,CUB,105,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
